#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           15                0
   8 ADD                         7408                0
  11 ADDSD                          4                0
  12 ADDSS                         14                0
  15 ADD_LOCK                      14                0
  23 AND                         2928                0
  26 ANDNPS                         1                0
  27 ANDPD                         10                0
  28 ANDPS                          3                0
  29 AND_LOCK                      11                0
  55 BSF                            4                0
  56 BSR                            8                0
  57 BSWAP                         64                0
  58 BT                            34                0
  64 BTS_LOCK                       1                0
  67 CALL_NEAR                  11424                0
  69 CDQ                           15                0
  70 CDQE                         322                0
  73 CLD                            2                0
 100 CMP                        13412                0
 109 CMPXCHG                      235                0
 114 CMPXCHG_LOCK                 433                0
 117 CPUID                          8                0
 118 CQO                            6                0
 132 CVTSI2SD                       4                0
 133 CVTSI2SS                      23                0
 134 CVTSS2SD                       1                0
 141 CVTTSS2SI                      9                0
 143 CWDE                           1                0
 146 DEC                          308                0
 147 DEC_LOCK                     349                0
 148 DIV                           76                0
 151 DIVSD                          4                0
 152 DIVSS                          3                0
 167 FABS                           6                0
 168 FADD                           7                0
 172 FCHS                           6                0
 189 FDIV                           1                0
 190 FDIVP                          4                0
 192 FDIVRP                         1                0
 202 FILD                           8                0
 206 FISTP                          2                0
 210 FLD                           86                0
 211 FLD1                           5                0
 212 FLDCW                          4                0
 213 FLDENV                         3                0
 219 FLDZ                           8                0
 220 FMUL                          11                0
 221 FMULP                          3                0
 226 FNSTCW                         4                0
 227 FNSTENV                        2                0
 228 FNSTSW                         6                0
 241 FSTP                         119                0
 244 FSUBP                          1                0
 245 FSUBR                          1                0
 246 FSUBRP                         2                0
 249 FUCOMI                        15                0
 250 FUCOMIP                       16                0
 254 FXAM                           6                0
 255 FXCH                          28                0
 269 HLT                            5                0
 272 IDIV                          20                0
 273 IMUL                         296                0
 275 INC                           15                0
 278 INC_LOCK                       7                0
 297 JB                           443                0
 298 JBE                          932                0
 301 JL                           135                0
 302 JLE                          526                0
 303 JMP                        10527                0
 305 JNB                          790                0
 306 JNBE                        1580                0
 307 JNL                           72                0
 308 JNLE                         344                0
 309 JNO                            4                0
 311 JNS                          185                0
 312 JNZ                         8442                0
 313 JO                            34                0
 314 JP                            13                0
 316 JS                           618                0
 317 JZ                         11838                0
 372 LDMXCSR                        2                0
 374 LEA                        13195                0
 375 LEAVE                          4                0
 377 LFENCE                        10                0
 392 LSL                            1                0
 405 MFENCE                        12                0
 412 MOV                        72295                0
 413 MOVAPD                        22                0
 414 MOVAPS                       638                0
 416 MOVD                          71                0
 421 MOVDQA                       359                0
 422 MOVDQU                       318                0
 425 MOVHPS                        42                0
 429 MOVMSKPD                       5                0
 430 MOVMSKPS                       3                0
 431 MOVNTDQ                        8                0
 439 MOVQ                          67                0
 441 MOVSB                          2                0
 443 MOVSD_XMM                     59                0
 447 MOVSS                         23                0
 449 MOVSX                        509                0
 450 MOVSXD                      1119                0
 452 MOVUPS                       549                0
 453 MOVZX                       3031                0
 457 MUL                          138                0
 460 MULSD                         11                0
 461 MULSS                         11                0
 465 NEG                          645                0
 467 NOP                         8573                0
 476 NOT                          130                0
 478 OR                          1518                0
 479 ORPD                           1                0
 480 ORPS                           1                0
 481 OR_LOCK                       13                0
 493 PADDB                          1                0
 494 PADDD                         18                0
 495 PADDQ                         13                0
 502 PAND                          11                0
 504 PAUSE                          9                0
 511 PCMPEQB                        1                0
 512 PCMPEQD                       90                0
 520 PCMPGTD                        1                0
 532 PEXTRW                         3                0
 565 PINSRW                         1                0
 580 PMOVMSKB                      45                0
 601 POP                         6554                0
 608 POR                            8                0
 610 PREFETCHT0                     4                0
 619 PSHUFD                         6                0
 628 PSLLQ                          2                0
 633 PSRLDQ                         1                0
 636 PSUBB                         41                0
 638 PSUBQ                          1                0
 641 PSUBUSB                        1                0
 647 PUNPCKHBW                      1                0
 648 PUNPCKHDQ                      5                0
 650 PUNPCKHWD                      2                0
 651 PUNPCKLBW                      3                0
 652 PUNPCKLDQ                      5                0
 653 PUNPCKLQDQ                     7                0
 654 PUNPCKLWD                      4                0
 655 PUSH                        6398                0
 661 PXOR                         117                0
 669 RDPID                          1                0
 670 RDPKRU                         2                0
 677 RDTSC                         26                0
 723 RET_NEAR                    3632                0
 724 ROL                          239                0
 725 ROR                          269                0
 737 SAR                          402                0
 740 SBB                          256                0
 746 SETB                          18                0
 747 SETBE                         21                0
 748 SETL                           9                0
 749 SETLE                         12                0
 750 SETNB                         67                0
 751 SETNBE                        74                0
 752 SETNL                         13                0
 753 SETNLE                        43                0
 757 SETNZ                        255                0
 758 SETO                           5                0
 759 SETP                           5                0
 762 SETZ                         493                0
 763 SFENCE                         2                0
 772 SHL                          624                0
 775 SHR                          954                0
 776 SHRD                           1                0
 778 SHUFPD                        50                0
 779 SHUFPS                         2                0
 791 STD                            1                0
 794 STMXCSR                        2                0
 800 SUB                         5530                0
 803 SUBSD                          2                0
 804 SUBSS                          5                0
 805 SUB_LOCK                       3                0
 807 SYSCALL                      573                0
 815 TEST                       10952                0
 819 UCOMISD                       28                0
 820 UCOMISS                       22                0
 823 UD2                            3                0
1564 WRPKRU                         1                0
1569 XABORT                         4                0
1571 XADD_LOCK                     27                0
1572 XBEGIN                         3                0
1573 XCHG                          20                0
1574 XEND                           1                0
1577 XOR                         8123                0
1578 XORPD                          6                0
1579 XORPS                          1                0
3000 *total                    223855                0
3001 *mem-atomic                  877                0
3002 *stack-read                22483               38
3003 *stack-write               28401                0
3004 *iprel-read                 6229                4
3005 *iprel-write                1995                0
3007 *mem-read-1                 4200              103
3008 *mem-read-2                  471                0
3010 *mem-read-4                10194               42
3014 *mem-read-8                31498               34
3016 *mem-read-10                  46                0
3022 *mem-read-16                 714                0
3034 *mem-read-28                   3                0
3070 *mem-read-64                   4                0
3519 *mem-write-1                2239                8
3520 *mem-write-2                 312                0
3522 *mem-write-4                7715                3
3526 *mem-write-8               29104               49
3528 *mem-write-10                 36                0
3534 *mem-write-16               1167                0
3546 *mem-write-28                  2                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   8 ADD                        55614                0
  23 AND                        18255                0
  55 BSF                         1739                0
  56 BSR                            4                0
  58 BT                           664                0
  67 CALL_NEAR                   6744                0
  70 CDQE                          10                0
  84 CMOVB                          0               86
  85 CMOVBE                         0               59
  86 CMOVL                          0                2
  88 CMOVNB                         0               10
  89 CMOVNBE                        0              178
  95 CMOVNZ                         0             1669
  98 CMOVS                          0                1
  99 CMOVZ                          0             1670
 100 CMP                        74549                0
 109 CMPXCHG                       77                0
 114 CMPXCHG_LOCK                  13                0
 117 CPUID                         27                0
 118 CQO                            2                0
 146 DEC                           76                0
 147 DEC_LOCK                       3                0
 148 DIV                         3794                0
 272 IDIV                           2                0
 273 IMUL                        1243                0
 275 INC                            2                0
 297 JB                          4982                0
 298 JBE                         6393                0
 301 JL                          1196                0
 302 JLE                         3173                0
 303 JMP                        13876                0
 305 JNB                         5645                0
 306 JNBE                        7773                0
 307 JNL                          125                0
 308 JNLE                         475                0
 311 JNS                          997                0
 312 JNZ                        41319                0
 313 JO                             3                0
 316 JS                            71                0
 317 JZ                         56147                0
 374 LEA                        32453                0
 375 LEAVE                          5                0
 412 MOV                       200629                0
 414 MOVAPS                       744                0
 416 MOVD                         110                0
 421 MOVDQA                      2949                0
 422 MOVDQU                       429                0
 424 MOVHPD                      2210                0
 425 MOVHPS                       290                0
 427 MOVLPD                      2210                0
 439 MOVQ                         308                0
 449 MOVSX                        360                0
 450 MOVSXD                      5821                0
 452 MOVUPS                       236                0
 453 MOVZX                      26520                0
 457 MUL                            4                0
 465 NEG                          117                0
 467 NOP                         3125                0
 476 NOT                           18                0
 478 OR                          1178                0
 494 PADDD                         62                0
 495 PADDQ                        125                0
 511 PCMPEQB                     4373                0
 512 PCMPEQD                        1                0
 520 PCMPGTD                       31                0
 577 PMINUB                       130                0
 580 PMOVMSKB                    2191                0
 601 POP                        15251                0
 608 POR                          371                0
 619 PSHUFD                       108                0
 626 PSLLD                         31                0
 627 PSLLDQ                       713                0
 628 PSLLQ                         62                0
 633 PSRLDQ                       275                0
 636 PSUBB                       1956                0
 648 PUNPCKHDQ                     31                0
 649 PUNPCKHQDQ                    62                0
 651 PUNPCKLBW                    108                0
 652 PUNPCKLDQ                     31                0
 653 PUNPCKLQDQ                    66                0
 654 PUNPCKLWD                    108                0
 655 PUSH                       17194                0
 661 PXOR                        2570                0
 677 RDTSC                          9                0
 723 RET_NEAR                    6740                0
 724 ROL                          112                0
 725 ROR                           20                0
 737 SAR                         1630                0
 740 SBB                            7                0
 746 SETB                         878                0
 747 SETBE                        282                0
 751 SETNBE                       176                0
 753 SETNLE                         1                0
 757 SETNZ                       2595                0
 762 SETZ                        1444                0
 772 SHL                         4549                0
 775 SHR                         8549                0
 797 STOSQ                          0             1455
 800 SUB                        14577                0
 807 SYSCALL                       96                0
 815 TEST                       55344                0
 817 TZCNT                        434                0
1100 VMOVD                         60                0
1105 VMOVDQU                      209                0
